,file_name,batch,TMT_group2,TMT_group1,mix_channels
70,bannertmt_b07_11,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
71,bannertmt_b12_06,12,"['130C', '131N', '130N', '127N', '129N']","['129C', '127C', '128C', '128N']","['126', '131C']"
72,bannertmt_b03_23,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
73,bannertmt_b02_18,2,"['128N', '131N', '128C', '129C']","['127C', '130N', '130C', '127N', '129N']","['126', '131C']"
74,bannertmt_b09_04,9,"['130C', '131N', '128C', '128N', '129C']","['127N', '127C', '129N', '130N']","['126', '131C']"
75,bannertmt_b19_06,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
76,bannertmt_b19_17,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
77,bannertmt_b04_10,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
78,bannertmt_b03_20,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
79,bannertmt_b11_20,11,"['131N', '130N', '129C', '127N', '129N']","['128C', '128N', '127C', '130C']","['126', '131C']"
80,bannertmt_b17_12,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
81,bannertmt_b06_14,6,"['130N', '127N', '129C', '128C', '128N']","['129N', '127C', '131N', '130C']","['126', '131C']"
82,bannertmt_b03_19,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
83,bannertmt_b06_21,6,"['130N', '127N', '129C', '128C', '128N']","['129N', '127C', '131N', '130C']","['126', '131C']"
84,bannertmt_b17_04,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
85,bannertmt_b18_17,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
86,bannertmt_b17_14,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
87,bannertmt_b09_23,9,"['130C', '131N', '128C', '128N', '129C']","['127N', '127C', '129N', '130N']","['126', '131C']"
88,bannertmt_b18_23,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
89,bannertmt_b01_19,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
90,bannertmt_b08_16,8,"['130C', '127C', '129N', '129C']","['128C', '127N', '131N', '128N', '130N']","['126', '131C']"
91,bannertmt_b10_15,10,"['131N', '129C', '127C', '129N']","['130C', '128N', '130N', '127N', '128C']","['126', '131C']"
92,bannertmt_b21_24,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
93,bannertmt_b02_17,2,"['128N', '131N', '128C', '129C']","['127C', '130N', '130C', '127N', '129N']","['126', '131C']"
94,bannertmt_b22_02,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
95,bannertmt_b09_14,9,"['130C', '131N', '128C', '128N', '129C']","['127N', '127C', '129N', '130N']","['126', '131C']"
96,bannertmt_b17_01,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
97,bannertmt_b18_08,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
