unimod_name,type_modification,accession,massmod,interpretations
['Arg-loss'],[{'R': '14'}],['1287'],-156.1011,"[{'label': 'Loss of R', 'priority': 0, 'type': 'artefact', 'ref': []}, {'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=1287"">Arg-loss</a> (61% match)', 'priority': 0.39039999999999997, 'type': 'unimod', 'ref': []}, {'label': '-190.1517 +34.0524', 'ref': ['-190.1517', '+34.0524'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-189.1318 +33.0232', 'ref': ['-189.1318', '+33.0232'], 'type': 'sum', 'priority': 0.9994581080581795}, {'label': '-187.1523 +31.0419', 'ref': ['-187.1523', '+31.0419'], 'type': 'sum', 'priority': 0.9995689495917337}, {'label': '-186.0783 +29.9750', 'ref': ['-186.0783', '+29.9750'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-184.1214 +28.0141', 'ref': ['-184.1214', '+28.0141'], 'type': 'sum', 'priority': 0.9996921068512383}, {'label': '-184.1062 +28.0141', 'ref': ['-184.1062', '+28.0141'], 'type': 'sum', 'priority': 0.9997044225771888}, {'label': '-173.1369 +17.0266', 'ref': ['-173.1369', '+17.0266'], 'type': 'sum', 'priority': 0.9987561116790029}, {'label': '-172.1413 +16.0399', 'ref': ['-172.1413', '+16.0399'], 'type': 'sum', 'priority': 0.9988669532125571}, {'label': '-170.1253 +14.0158', 'ref': ['-170.1253', '+14.0158'], 'type': 'sum', 'priority': 0.9988423217606561}, {'label': '-170.0905 +13.9796', 'ref': ['-170.0905', '+13.9796'], 'type': 'sum', 'priority': 0.9997290540290897}, {'label': '-160.0308 +3.9284', 'ref': ['-160.0308', '+3.9284'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-155.1167 -0.9839', 'ref': ['-155.1167', '-0.9839'], 'type': 'sum', 'priority': 0.9987622695419781}, {'label': '-147.0685 -9.0363', 'ref': ['-147.0685', '-9.0363'], 'type': 'sum', 'priority': 0.998626796556523}, {'label': '-142.0854 -14.0155', 'ref': ['-142.0854', '-14.0155'], 'type': 'sum', 'priority': 0.9986021651046221}, {'label': '-142.0744 -14.0357', 'ref': ['-142.0744', '-14.0357'], 'type': 'sum', 'priority': 0.9996982647142135}, {'label': '-140.1061 -15.9941', 'ref': ['-140.1061', '-15.9941'], 'type': 'sum', 'priority': 0.9998152641107431}, {'label': '-137.0592 -19.0422', 'ref': ['-137.0592', '-19.0422'], 'type': 'sum', 'priority': 0.9996613175363622}, {'label': '-129.0428 -27.0582', 'ref': ['-129.0428', '-27.0582'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-128.0588 -28.0422', 'ref': ['-128.0588', '-28.0422'], 'type': 'sum', 'priority': 0.9997536854809906}, {'label': '-115.1199 -40.9814', 'ref': ['-115.1199', '-40.9814'], 'type': 'sum', 'priority': 0.999839895562644}, {'label': '-114.1360 -41.9656', 'ref': ['-114.1360', '-41.9656'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-99.0795 -57.0216', 'ref': ['-99.0795', '-57.0216'], 'type': 'sum', 'priority': 0.9995073709619814}, {'label': '-99.0686 -57.0396', 'ref': ['-99.0686', '-57.0396'], 'type': 'sum', 'priority': 0.9995874231806594}, {'label': '-85.0639 -71.0372', 'ref': ['-85.0639', '-71.0372'], 'type': 'sum', 'priority': 0.9998706848775201}]"
['Met-loss'],[{'M': '3'}],['765'],-131.0407,"[{'label': 'Loss of M', 'priority': 0, 'type': 'artefact', 'ref': []}, {'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=765"">Met-loss</a> (0% match)', 'priority': 1.0, 'type': 'unimod', 'ref': []}, {'label': '-186.0783 +55.0454', 'ref': ['-186.0783', '+55.0454'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-147.0846 +16.0399', 'ref': ['-147.0846', '+16.0399'], 'type': 'sum', 'priority': 0.9991871620872692}, {'label': '-134.1949 +3.1639', 'ref': ['-134.1949', '+3.1639'], 'type': 'sum', 'priority': 0.9997290540290897}, {'label': '-132.1465 +1.1131', 'ref': ['-132.1465', '+1.1131'], 'type': 'sum', 'priority': 0.9973090138798232}, {'label': '-131.1621 +0.1286', 'ref': ['-131.1621', '+0.1286'], 'type': 'sum', 'priority': 0.9997844747958669}, {'label': '-130.1309 -0.9023', 'ref': ['-130.1309', '-0.9023'], 'type': 'sum', 'priority': 0.9989777947461113}, {'label': '-101.0479 -29.9926', 'ref': ['-101.0479', '-29.9926'], 'type': 'sum', 'priority': 0.9990701626907398}, {'label': '-91.0090 -40.0222', 'ref': ['-91.0090', '-40.0222'], 'type': 'sum', 'priority': 0.9994581080581795}, {'label': '-74.0071 -57.0396', 'ref': ['-74.0071', '-57.0396'], 'type': 'sum', 'priority': 0.9998768427404954}]"
['-K'],[{'K': '2'}],['313'],-128.0950,"[{'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=313"">Lys-loss</a> (0% match)', 'priority': 1.0, 'type': 'unimod', 'ref': []}, {'label': '-199.1322 +71.0372', 'ref': ['-199.1322', '+71.0372'], 'type': 'sum', 'priority': 0.9997044225771888}, {'label': '-184.1214 +56.0190', 'ref': ['-184.1214', '+56.0190'], 'type': 'sum', 'priority': 0.9996921068512383}, {'label': '-184.1062 +56.0190', 'ref': ['-184.1062', '+56.0190'], 'type': 'sum', 'priority': 0.9997044225771888}, {'label': '-172.0851 +43.9901', 'ref': ['-172.0851', '+43.9901'], 'type': 'sum', 'priority': 0.999839895562644}, {'label': '-170.1058 +42.0111', 'ref': ['-170.1058', '+42.0111'], 'type': 'sum', 'priority': 0.9998275798366935}, {'label': '-170.0905 +41.9925', 'ref': ['-170.0905', '+41.9925'], 'type': 'sum', 'priority': 0.9997290540290897}, {'label': '-158.0694 +29.9750', 'ref': ['-158.0694', '+29.9750'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-156.1011 +28.0141', 'ref': ['-156.1011', '+28.0141'], 'type': 'sum', 'priority': 0.9961513356404793}, {'label': '-156.0901 +27.9950', 'ref': ['-156.0901', '+27.9950'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-154.0744 +25.9794', 'ref': ['-154.0744', '+25.9794'], 'type': 'sum', 'priority': 0.9998706848775201}, {'label': '-142.0744 +13.9796', 'ref': ['-142.0744', '+13.9796'], 'type': 'sum', 'priority': 0.9996982647142135}, {'label': '-140.1061 +12.0173', 'ref': ['-140.1061', '+12.0173'], 'type': 'sum', 'priority': 0.9998152641107431}, {'label': '-131.1621 +3.0687', 'ref': ['-131.1621', '+3.0687'], 'type': 'sum', 'priority': 0.9997844747958669}, {'label': '-131.0407 +2.9532', 'ref': ['-131.0407', '+2.9532'], 'type': 'sum', 'priority': 0.9986083229675973}, {'label': '-130.1663 +2.0804', 'ref': ['-130.1663', '+2.0804'], 'type': 'sum', 'priority': 0.9996182124955355}, {'label': '-130.1493 +2.0540', 'ref': ['-130.1493', '+2.0540'], 'type': 'sum', 'priority': 0.9990947941426407}, {'label': '-104.1152 -23.9758', 'ref': ['-104.1152', '-23.9758'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-97.1103 -30.9874', 'ref': ['-97.1103', '-30.9874'], 'type': 'sum', 'priority': 0.9996859489882631}, {'label': '-71.0714 -57.0216', 'ref': ['-71.0714', '-57.0216'], 'type': 'sum', 'priority': 0.9998768427404954}]"
['Arg-Gly'],[{'R': '15'}],['646'],-99.0795,"[{'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=646"">Arg->Gly</a> (36% match)', 'priority': 0.6375, 'type': 'unimod', 'ref': []}, {'label': '-172.1413 +73.0616', 'ref': ['-172.1413', '+73.0616'], 'type': 'sum', 'priority': 0.9978139586437923}, {'label': '-171.1206 +72.0327', 'ref': ['-171.1206', '+72.0327'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-170.1253 +71.0372', 'ref': ['-170.1253', '+71.0372'], 'type': 'sum', 'priority': 0.9988423217606561}, {'label': '-156.1011 +57.0218', 'ref': ['-156.1011', '+57.0218'], 'type': 'sum', 'priority': 0.9961513356404793}, {'label': '-155.1167 +56.0379', 'ref': ['-155.1167', '+56.0379'], 'type': 'sum', 'priority': 0.9987622695419781}, {'label': '-147.0685 +47.9851', 'ref': ['-147.0685', '+47.9851'], 'type': 'sum', 'priority': 0.99934110866165}, {'label': '-142.0854 +43.0061', 'ref': ['-142.0854', '+43.0061'], 'type': 'sum', 'priority': 0.9986021651046221}, {'label': '-140.1061 +41.0269', 'ref': ['-140.1061', '+41.0269'], 'type': 'sum', 'priority': 0.9998152641107431}, {'label': '-130.1309 +31.0419', 'ref': ['-130.1309', '+31.0419'], 'type': 'sum', 'priority': 0.9995689495917337}, {'label': '-116.0588 +16.9796', 'ref': ['-116.0588', '+16.9796'], 'type': 'sum', 'priority': 0.9979063265884207}, {'label': '-115.1199 +16.0399', 'ref': ['-115.1199', '+16.0399'], 'type': 'sum', 'priority': 0.9995073709619814}, {'label': '-115.0736 +15.9950', 'ref': ['-115.0736', '+15.9950'], 'type': 'sum', 'priority': 0.9998091062477678}, {'label': '-114.1712 +15.0923', 'ref': ['-114.1712', '+15.0923'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-99.1163 +0.0454', 'ref': ['-99.1163', '+0.0454'], 'type': 'sum', 'priority': 0.9998214219737183}, {'label': '-98.1411 -0.9385', 'ref': ['-98.1411', '-0.9385'], 'type': 'sum', 'priority': 0.9998337376996687}, {'label': '-95.1492 -3.9400', 'ref': ['-95.1492', '-3.9400'], 'type': 'sum', 'priority': 0.9996797911252879}, {'label': '-89.0615 -10.0207', 'ref': ['-89.0615', '-10.0207'], 'type': 'sum', 'priority': 0.9997044225771888}, {'label': '-85.0639 -14.0155', 'ref': ['-85.0639', '-14.0155'], 'type': 'sum', 'priority': 0.9998706848775201}, {'label': '-73.0622 -26.0255', 'ref': ['-73.0622', '-26.0255'], 'type': 'sum', 'priority': 0.999710580440164}, {'label': '-71.0714 -28.0180', 'ref': ['-71.0714', '-28.0180'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-71.0372 -28.0422', 'ref': ['-71.0372', '-28.0422'], 'type': 'sum', 'priority': 0.9997536854809906}]"
['Arg-Ala'],[{'R': '15'}],['1189'],-85.0639,"[{'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=1189"">Arg->Ala</a> (62% match)', 'priority': 0.38095238095238093, 'type': 'unimod', 'ref': []}, {'label': '-172.0851 +87.0202', 'ref': ['-172.0851', '+87.0202'], 'type': 'sum', 'priority': 0.9998583691515697}, {'label': '-170.1253 +85.0528', 'ref': ['-170.1253', '+85.0528'], 'type': 'sum', 'priority': 0.9998337376996687}, {'label': '-158.1256 +73.0616', 'ref': ['-158.1256', '+73.0616'], 'type': 'sum', 'priority': 0.9994519501952043}, {'label': '-156.1011 +71.0372', 'ref': ['-156.1011', '+71.0372'], 'type': 'sum', 'priority': 0.9965947017746961}, {'label': '-142.0854 +57.0218', 'ref': ['-142.0854', '+57.0218'], 'type': 'sum', 'priority': 0.9986021651046221}, {'label': '-140.1061 +55.0454', 'ref': ['-140.1061', '+55.0454'], 'type': 'sum', 'priority': 0.9998152641107431}, {'label': '-115.0736 +30.0108', 'ref': ['-115.0736', '+30.0108'], 'type': 'sum', 'priority': 0.9998091062477678}, {'label': '-113.0842 +28.0141', 'ref': ['-113.0842', '+28.0141'], 'type': 'sum', 'priority': 0.9952584455090705}, {'label': '-99.0795 +14.0158', 'ref': ['-99.0795', '+14.0158'], 'type': 'sum', 'priority': 0.9995073709619814}, {'label': '-97.1103 +12.0364', 'ref': ['-97.1103', '+12.0364'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-73.0622 -12.0104', 'ref': ['-73.0622', '-12.0104'], 'type': 'sum', 'priority': 0.9997290540290897}, {'label': '-71.0714 -13.9965', 'ref': ['-71.0714', '-13.9965'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-71.0372 -14.0357', 'ref': ['-71.0372', '-14.0357'], 'type': 'sum', 'priority': 0.9995135288249566}, {'label': '-58.0073 -27.0582', 'ref': ['-58.0073', '-27.0582'], 'type': 'sum', 'priority': 0.9998091062477678}, {'label': '-57.0396 -28.0310', 'ref': ['-57.0396', '-28.0310'], 'type': 'sum', 'priority': 0.9995874231806594}, {'label': '-57.0396 -28.0180', 'ref': ['-57.0396', '-28.0180'], 'type': 'sum', 'priority': 0.9995874231806594}, {'label': '-57.0216 -28.0422', 'ref': ['-57.0216', '-28.0422'], 'type': 'sum', 'priority': 0.9997536854809906}, {'label': '-49.0408 -36.0226', 'ref': ['-49.0408', '-36.0226'], 'type': 'sum', 'priority': 0.9998460534256192}]"
['Lys-Gly'],[{'K': '15'}],['1135'],-71.0714,"[{'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=1135"">Lys->Gly</a> (5% match)', 'priority': 0.95, 'type': 'unimod', 'ref': []}, {'label': '-172.1413 +101.0696', 'ref': ['-172.1413', '+101.0696'], 'type': 'sum', 'priority': 0.9997413697550402}, {'label': '-171.1573 +100.0894', 'ref': ['-171.1573', '+100.0894'], 'type': 'sum', 'priority': 0.9985960072416469}, {'label': '-170.1719 +99.1045', 'ref': ['-170.1719', '+99.1045'], 'type': 'sum', 'priority': 0.9997783169328917}, {'label': '-170.1058 +99.0318', 'ref': ['-170.1058', '+99.0318'], 'type': 'sum', 'priority': 0.9998275798366935}, {'label': '-170.0905 +99.0125', 'ref': ['-170.0905', '+99.0125'], 'type': 'sum', 'priority': 0.9997290540290897}, {'label': '-157.1413 +86.0737', 'ref': ['-157.1413', '+86.0737'], 'type': 'sum', 'priority': 0.9991194255945417}, {'label': '-129.1100 +58.0415', 'ref': ['-129.1100', '+58.0415'], 'type': 'sum', 'priority': 0.9997721590699163}, {'label': '-128.0950 +57.0218', 'ref': ['-128.0950', '+57.0218'], 'type': 'sum', 'priority': 0.9990455312388389}, {'label': '-116.0588 +44.9849', 'ref': ['-116.0588', '+44.9849'], 'type': 'sum', 'priority': 0.9979063265884207}, {'label': '-115.0271 +43.9625', 'ref': ['-115.0271', '+43.9625'], 'type': 'sum', 'priority': 0.9998337376996687}, {'label': '-113.0842 +42.0111', 'ref': ['-113.0842', '+42.0111'], 'type': 'sum', 'priority': 0.9972474352500709}, {'label': '-101.0479 +29.9750', 'ref': ['-101.0479', '+29.9750'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-99.0795 +28.0141', 'ref': ['-99.0795', '+28.0141'], 'type': 'sum', 'priority': 0.9995073709619814}, {'label': '-99.0686 +27.9950', 'ref': ['-99.0686', '+27.9950'], 'type': 'sum', 'priority': 0.9985097971599936}, {'label': '-97.0530 +25.9794', 'ref': ['-97.0530', '+25.9794'], 'type': 'sum', 'priority': 0.9998275798366935}, {'label': '-96.1076 +25.0320', 'ref': ['-96.1076', '+25.0320'], 'type': 'sum', 'priority': 0.9974506447282535}, {'label': '-88.0479 +16.9796', 'ref': ['-88.0479', '+16.9796'], 'type': 'sum', 'priority': 0.9998152641107431}, {'label': '-87.0322 +15.9588', 'ref': ['-87.0322', '+15.9588'], 'type': 'sum', 'priority': 0.999839895562644}, {'label': '-73.1283 +2.0540', 'ref': ['-73.1283', '+2.0540'], 'type': 'sum', 'priority': 0.9998214219737183}, {'label': '-70.1292 -0.9385', 'ref': ['-70.1292', '-0.9385'], 'type': 'sum', 'priority': 0.9996182124955355}, {'label': '-67.1087 -3.9528', 'ref': ['-67.1087', '-3.9528'], 'type': 'sum', 'priority': 0.9997413697550402}, {'label': '-65.1032 -5.9679', 'ref': ['-65.1032', '-5.9679'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-63.9983 -7.0651', 'ref': ['-63.9983', '-7.0651'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-57.0396 -14.0357', 'ref': ['-57.0396', '-14.0357'], 'type': 'sum', 'priority': 0.9995874231806594}, {'label': '-55.9811 -15.0889', 'ref': ['-55.9811', '-15.0889'], 'type': 'sum', 'priority': 0.9998460534256192}, {'label': '-49.0408 -22.0317', 'ref': ['-49.0408', '-22.0317'], 'type': 'sum', 'priority': 0.9998460534256192}, {'label': '-43.0544 -28.0180', 'ref': ['-43.0544', '-28.0180'], 'type': 'sum', 'priority': 0.999839895562644}]"
['Gln-Gly'],[{'Q': '15'}],['1181'],-71.0372,"[{'label': 'Loss of A', 'priority': 0, 'type': 'artefact', 'ref': []}, {'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=1181"">Gln->Gly</a> (0% match)', 'priority': 0.9968253968253968, 'type': 'unimod', 'ref': []}, {'label': '-184.1214 +113.0839', 'ref': ['-184.1214', '+113.0839'], 'type': 'sum', 'priority': 0.9996921068512383}, {'label': '-184.1062 +113.0602', 'ref': ['-184.1062', '+113.0602'], 'type': 'sum', 'priority': 0.9997044225771888}, {'label': '-171.1573 +100.1195', 'ref': ['-171.1573', '+100.1195'], 'type': 'sum', 'priority': 0.9995935810436346}, {'label': '-171.1206 +100.0894', 'ref': ['-171.1206', '+100.0894'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-170.1058 +99.0685', 'ref': ['-170.1058', '+99.0685'], 'type': 'sum', 'priority': 0.9998275798366935}, {'label': '-168.0901 +97.0533', 'ref': ['-168.0901', '+97.0533'], 'type': 'sum', 'priority': 0.9998583691515697}, {'label': '-156.0901 +85.0528', 'ref': ['-156.0901', '+85.0528'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-150.0039 +78.9644', 'ref': ['-150.0039', '+78.9644'], 'type': 'sum', 'priority': 0.999839895562644}, {'label': '-147.0846 +76.0542', 'ref': ['-147.0846', '+76.0542'], 'type': 'sum', 'priority': 0.9998152641107431}, {'label': '-142.0744 +71.0372', 'ref': ['-142.0744', '+71.0372'], 'type': 'sum', 'priority': 0.9996982647142135}, {'label': '-131.1145 +60.0742', 'ref': ['-131.1145', '+60.0742'], 'type': 'sum', 'priority': 0.999839895562644}, {'label': '-129.0428 +58.0061', 'ref': ['-129.0428', '+58.0061'], 'type': 'sum', 'priority': 0.9996182124955355}, {'label': '-128.0950 +57.0659', 'ref': ['-128.0950', '+57.0659'], 'type': 'sum', 'priority': 0.9992980036208234}, {'label': '-128.0588 +57.0218', 'ref': ['-128.0588', '+57.0218'], 'type': 'sum', 'priority': 0.9992487407170215}, {'label': '-115.0271 +43.9901', 'ref': ['-115.0271', '+43.9901'], 'type': 'sum', 'priority': 0.9998337376996687}, {'label': '-114.0431 +43.0061', 'ref': ['-114.0431', '+43.0061'], 'type': 'sum', 'priority': 0.9990516891018141}, {'label': '-113.1519 +42.1148', 'ref': ['-113.1519', '+42.1148'], 'type': 'sum', 'priority': 0.9995443181398328}, {'label': '-113.0842 +42.0472', 'ref': ['-113.0842', '+42.0472'], 'type': 'sum', 'priority': 0.9997352118920649}, {'label': '-101.0479 +30.0108', 'ref': ['-101.0479', '+30.0108'], 'type': 'sum', 'priority': 0.9990701626907398}, {'label': '-99.0686 +28.0315', 'ref': ['-99.0686', '+28.0315'], 'type': 'sum', 'priority': 0.9985097971599936}, {'label': '-97.0530 +26.0158', 'ref': ['-97.0530', '+26.0158'], 'type': 'sum', 'priority': 0.9998275798366935}, {'label': '-87.0322 +15.9950', 'ref': ['-87.0322', '+15.9950'], 'type': 'sum', 'priority': 0.9990824784166903}, {'label': '-71.9970 +0.9648', 'ref': ['-71.9970', '+0.9648'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-70.1292 -0.9023', 'ref': ['-70.1292', '-0.9023'], 'type': 'sum', 'priority': 0.9996182124955355}, {'label': '-57.0396 -13.9965', 'ref': ['-57.0396', '-13.9965'], 'type': 'sum', 'priority': 0.999630528221486}, {'label': '-57.0216 -14.0155', 'ref': ['-57.0216', '-14.0155'], 'type': 'sum', 'priority': 0.99881153244578}, {'label': '-43.0058 -28.0310', 'ref': ['-43.0058', '-28.0310'], 'type': 'sum', 'priority': 0.9996120546325603}]"
['Tyr-Val'],[{'Y': '15'}],['1246'],-63.9983,"[{'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=1246"">Tyr->Val</a> (2% match)', 'priority': 0.9805825242718447, 'type': 'unimod', 'ref': []}, {'label': '-163.0633 +99.0685', 'ref': ['-163.0633', '+99.0685'], 'type': 'sum', 'priority': 0.9991686884983435}, {'label': '-137.0592 +73.0616', 'ref': ['-137.0592', '+73.0616'], 'type': 'sum', 'priority': 0.9994827395100804}, {'label': '-91.0090 +27.0109', 'ref': ['-91.0090', '+27.0109'], 'type': 'sum', 'priority': 0.9987006909122258}, {'label': '-75.0236 +11.0162', 'ref': ['-75.0236', '+11.0162'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-65.1032 +1.1131', 'ref': ['-65.1032', '+1.1131'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-55.9811 -8.0141', 'ref': ['-55.9811', '-8.0141'], 'type': 'sum', 'priority': 0.9998460534256192}, {'label': '-48.0036 -15.9941', 'ref': ['-48.0036', '-15.9941'], 'type': 'sum', 'priority': 0.9978755372735446}, {'label': '-41.9656 -22.0317', 'ref': ['-41.9656', '-22.0317'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-40.9814 -23.0164', 'ref': ['-40.9814', '-23.0164'], 'type': 'sum', 'priority': 0.999839895562644}, {'label': '-40.0222 -23.9758', 'ref': ['-40.0222', '-23.9758'], 'type': 'sum', 'priority': 0.9998645270145449}]"
"['Glu-Ala', 'Asp-Gly', 'Gly-loss+Amide']","[{'E': '15'}, {'D': '15'}, {'G': '2'}]","['560', '556', '822']",-58.0073,"[{'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=560"">Glu->Ala</a> (19% match)', 'priority': 0.8064516129032258, 'type': 'unimod', 'ref': []}, {'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=556"">Asp->Gly</a> (26% match)', 'priority': 0.7419354838709677, 'type': 'unimod', 'ref': []}, {'label': '<a href=""http://www.unimod.org/modifications_view.php?editid1=822"">Gly-loss+Amide</a> (3% match)', 'priority': 0.967741935483871, 'type': 'unimod', 'ref': []}, {'label': '-189.1318 +131.1155', 'ref': ['-189.1318', '+131.1155'], 'type': 'sum', 'priority': 0.9994581080581795}, {'label': '-171.1206 +113.1057', 'ref': ['-171.1206', '+113.1057'], 'type': 'sum', 'priority': 0.9997475276180154}, {'label': '-158.1256 +100.1195', 'ref': ['-158.1256', '+100.1195'], 'type': 'sum', 'priority': 0.9995935810436346}, {'label': '-156.1011 +98.1016', 'ref': ['-156.1011', '+98.1016'], 'type': 'sum', 'priority': 0.9971304358535414}, {'label': '-155.1167 +97.1092', 'ref': ['-155.1167', '+97.1092'], 'type': 'sum', 'priority': 0.9996921068512383}, {'label': '-147.0846 +89.0826', 'ref': ['-147.0846', '+89.0826'], 'type': 'sum', 'priority': 0.9991871620872692}, {'label': '-129.0428 +71.0372', 'ref': ['-129.0428', '+71.0372'], 'type': 'sum', 'priority': 0.9996182124955355}, {'label': '-128.0588 +70.0422', 'ref': ['-128.0588', '+70.0422'], 'type': 'sum', 'priority': 0.9996551596733869}, {'label': '-116.0588 +58.0415', 'ref': ['-116.0588', '+58.0415'], 'type': 'sum', 'priority': 0.9979063265884207}, {'label': '-115.0736 +57.0659', 'ref': ['-115.0736', '+57.0659'], 'type': 'sum', 'priority': 0.9998091062477678}, {'label': '-115.0271 +57.0218', 'ref': ['-115.0271', '+57.0218'], 'type': 'sum', 'priority': 0.9998337376996687}, {'label': '-114.0431 +56.0379', 'ref': ['-114.0431', '+56.0379'], 'type': 'sum', 'priority': 0.9990516891018141}, {'label': '-74.0071 +15.9950', 'ref': ['-74.0071', '+15.9950'], 'type': 'sum', 'priority': 0.9998768427404954}, {'label': '-63.9983 +5.9862', 'ref': ['-63.9983', '+5.9862'], 'type': 'sum', 'priority': 0.999365740113551}, {'label': '-61.2242 +3.2169', 'ref': ['-61.2242', '+3.2169'], 'type': 'sum', 'priority': 0.9989039003904086}, {'label': '-57.0216 -0.9839', 'ref': ['-57.0216', '-0.9839'], 'type': 'sum', 'priority': 0.99881153244578}, {'label': '-41.9656 -16.0408', 'ref': ['-41.9656', '-16.0408'], 'type': 'sum', 'priority': 0.9998645270145449}, {'label': '-40.9814 -17.0261', 'ref': ['-40.9814', '-17.0261'], 'type': 'sum', 'priority': 0.999839895562644}, {'label': '-40.0222 -17.9772', 'ref': ['-40.0222', '-17.9772'], 'type': 'sum', 'priority': 0.9994581080581795}, {'label': '-30.9874 -27.0141', 'ref': ['-30.9874', '-27.0141'], 'type': 'sum', 'priority': 0.9996859489882631}, {'label': '-29.9926 -28.0180', 'ref': ['-29.9926', '-28.0180'], 'type': 'sum', 'priority': 0.9983989556264394}]"
